time,mag,place
2023-03-09T07:14:36.780Z,1.34,"13km SSW of Searles Valley, CA"
2023-03-09T07:07:41.870Z,1.48,"8km W of Cobb, CA"
2023-03-09T07:00:28.973Z,2,"55 km WNW of Anchor Point, Alaska"
2023-03-09T06:52:51.790Z,3.66,"67 km NNW of Charlotte Amalie, U.S. Virgin Islands"
2023-03-09T06:50:16.810Z,0.89,"5km SW of Tehachapi, CA"
2023-03-09T06:38:24.090Z,0.83,"10km N of Indio, CA"
2023-03-09T06:16:07.088Z,3.7,"103 km W of Adak, Alaska"
2023-03-09T06:12:56.647Z,1.2,northern Alaska
2023-03-09T06:02:07.493Z,1.3,"37 km SW of Cantwell, Alaska"
2023-03-09T05:56:31.988Z,1.1,"23 km NW of Four Mile Road, Alaska"
2023-03-09T05:42:48.160Z,3.54,"93 km W of Adak, Alaska"
2023-03-09T05:40:12.329Z,4.5,"192 km SSE of Vilyuchinsk, Russia"
2023-03-09T05:31:19.828Z,1.5,"56 km W of Anchor Point, Alaska"
2023-03-09T05:23:51.114Z,1,"44 km NNW of Petersville, Alaska"
2023-03-09T05:11:28.763Z,1.6,"87 km WSW of Karluk, Alaska"
2023-03-09T05:11:28.120Z,2.24000001,"12 km NE of Pāhala, Hawaii"
2023-03-09T05:08:26.920Z,4.1,"207 km SSE of Vilyuchinsk, Russia"
2023-03-09T05:07:10.930Z,2.19,"10 km ENE of Pāhala, Hawaii"
2023-03-09T05:02:58.120Z,0.67,"8km NW of The Geysers, CA"
2023-03-09T04:59:40.950Z,0.87,"20km ESE of Julian, CA"
2023-03-09T04:53:16.480Z,1.01,"15km ENE of Julian, CA"
2023-03-09T04:49:52.069Z,1.3,"49 km E of Pleasant Valley, Alaska"
2023-03-09T04:49:02.790Z,1.15,"19km WSW of Ludlow, CA"
2023-03-09T04:38:40.411Z,1.3,"5 km NNW of Susitna, Alaska"
2023-03-09T04:28:49.260Z,0.71,"6km ESE of Valle Vista, CA"
2023-03-09T04:22:46.577Z,4.9,"15 km SSW of Nueva Colombia, Mexico"
2023-03-09T04:20:12.920Z,2.6,"Andreanof Islands, Aleutian Islands, Alaska"
2023-03-09T04:10:30.170Z,2.81,"94 km W of Adak, Alaska"
2023-03-09T04:07:22.550Z,3.14,"Andreanof Islands, Aleutian Islands, Alaska"
2023-03-09T04:00:09.082Z,4.7,"298 km ENE of Lospalos, Timor Leste"
